Series, Width, Mounting, Legnths mm, Note
HG, 15, T or B, 70-12000, Heavy Load Ball Type Linear Guideway 
HG, 20, T or B, 78-5-12000, -
HG, 25, T or B, 85-12000, -
HG, 30, T or B, 98.4-12000, -
HG, 35, T or B, 113.4-12000, -
HG, 45, T or B, 140.4-12000, -
HG, 55, T or B, 167.7-12000, -
HG, 65, T or B, 201.2-12000, -
MG, 7, Top, 23.5-2000, Miniature Linear Guideway
MG, 9, Top, 29.9-2000, -
MG, 12, Top, 35.7-2000, -
MG, 15, Top, 48-2000, -
EG, 15, R T U, 68-12000, Low profile Ball Type Linear Guideway
EG, 20, R T U, 72-12000, -
EG, 25, R T U, 83.6-12000, -
EG, 30, R T U, 99.1-12000, -
EG, 35, R T U, 109-12000, -